Project Name,Package Name,Type Name,Method Name,Code Smell
.,com.group24.trelloclone.board,BoardServiceImplTests,setUp,Magic Number
.,com.group24.trelloclone.board,BoardServiceImplTests,setUp,Magic Number
.,com.group24.trelloclone.user,UserServiceImplTests,build,Magic Number
.,com.group24.trelloclone.task,TaskServiceImplTests,createTaskTest,Magic Number
.,com.group24.trelloclone.task.controller,TaskController,createTask,Long Statement
.,com.group24.trelloclone.task.model,TaskModel,create,Long Statement
